track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
2t98sYRAQZAXqdwi3Sf6pQ,Sentimento Safari,0.801,0.868,103.017,-7.882,0.393,0.397,0.0,0.0761,0.19
3EtXiDhRO8psTWs2uY8nyA,Hoji N'ka ta Rola,0.58,0.503,126.588,-8.658,0.542,0.263,1.26e-05,0.117,0.517
6MLQRF8D7LsOvZwkt1UcZP,Vivi Good,0.826,0.8,104.988,-7.392,0.596,0.104,1.93e-06,0.0862,0.539
3PS7DV9nHtL6FhgSPh0d8z,Hoji en Sá Ta Vivi,0.882,0.519,119.906,-9.748,0.322,0.302,0.0,0.0755,0.473
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),0.746,0.69,89.977,-7.956,0.497,0.164,0.0,0.101,0.247
3Dv1eDb0MEgF93GpLXlucZ,Say So,0.787,0.673,110.962,-4.577,0.786,0.158,3.57e-06,0.0904,0.256
3dVvWnj4D8JGkKvo6Hucso,TROLLZ (with Nicki Minaj),0.744,0.422,180.006,-8.946,0.493,0.294,0.00011,0.11,0.0319
1X3ltingEVNGRoJf1dvZfQ,Somos Iguais,0.645,0.699,91.704,-7.634,0.574,0.174,0.000291,0.118,0.306
54MFLMtI1lDZXzWCnrL2jo,Tu vas me manquer - Pilule bleue,0.768,0.748,115.958,-5.095,0.334,0.0289,0.0313,0.111,0.0722
2MOq63fxuFLYQM3CsDcFs1,menina solta,0.632,0.559,91.81,-6.74,0.674,0.0794,0.0,0.16,0.331
0h5iRD8nlDtcn4rwbZzNgg,Te gusta,0.724,0.714,129.886,-4.443,0.961,0.0892,0.0,0.0874,0.169
19gFXFDAFUdsuaiAorKEbr,"Tempo (feat. T-Rex, LON3R JOHNY & BISPO)",0.756,0.607,123.994,-6.006,0.4,0.0438,6.47e-06,0.143,0.562
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,0.774,0.554,99.034,-7.909,0.349,0.0383,0.0,0.132,0.207
4NhDYoQTYCdWHTvlbGVgwo,GOOBA,0.611,0.688,178.462,-5.688,0.393,0.341,0.0,0.251,0.0264
2OI0z4fQD8NQPfYf5v6a2E,Essa Saia (feat. Ivandro),0.698,0.62,88.352,-7.359,0.4,0.218,0.0,0.101,0.5
0KBwGCY9RYD9t2zjeW4h48,Djomb - Bien ou quoi,0.945,0.676,123.109,-6.6,0.631,0.207,0.00036,0.322,0.172
3LgrzjwX7RVTtAX9Ai12Qm,À nos souvenirs,0.676,0.856,133.847,-4.609,0.455,0.134,0.0,0.0955,0.305
63eflEIBAF5VmO5AdVuZF7,Tiago,0.55,0.543,123.106,-7.933,0.65,0.108,0.0,0.0536,0.751
08P4HGLcR4YaCPJ4ZEhGo4,Close To Me,0.625,0.614,81.996,-8.907,0.55,0.0317,0.956,0.0889,0.287
5qXe0044i6VjMWPsqvNKNY,Pornochick,0.783,0.27,106.395,-12.184,0.424,0.128,0.778,0.088,0.0815
4C0mkOy7Qv7a6w2u85tqhz,Cadeaux - Pilule bleue,0.595,0.871,97.895,-3.889,0.489,0.238,0.000131,0.087,0.0228
2xyIwHKujL7tSgkK2Waj2s,All Around The World (La La La),0.733,0.859,124.948,-5.03,0.52,0.033,0.0645,0.105,0.479
3wYRLYuO1M88d8woWUIxct,Ignorantes,0.85,0.536,96.029,-5.161,0.505,0.0599,3.89e-05,0.0996,0.267
3JLiFx1nKJzgQZawENZODb,Adrenalizou - Gabriel Boni Remix,0.821,0.717,122.993,-5.76,0.322,0.0385,0.00036,0.338,0.0733
1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN,0.923,0.604,145.062,-6.671,0.826,0.245,0.0,0.272,0.017
13KcxQJSvNbTFRB1pNf9DZ,Wake Up Dead,0.469,0.413,100.959,-7.573,0.442,0.0575,0.0,0.119,0.0787
6lruHh1jF7ezgbLv72xYmf,FML,0.822,0.575,100.087,-5.95,0.616,0.0934,0.0,0.106,0.113
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),0.795,0.574,142.053,-6.903,0.537,0.487,0.0,0.15,0.067
5OxveXfvga2t0se21d96Ow,Bored In The House,0.928,0.372,112.458,-10.393,0.732,0.321,9.6e-06,0.0948,0.0202
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,0.694,0.77,125.905,-5.335,0.163,0.149,1.1e-05,0.118,0.176
3k2fZoNTfzrFSBRP5QWSW4,Out of My Head,0.751,0.698,104.945,-6.288,0.534,0.0309,0.000458,0.419,0.458
30cW9fD87IgbYFl8o0lUze,Perfect (feat. Haris),0.751,0.657,118.029,-4.642,0.532,0.0989,0.0,0.0945,0.0955
2c3sKqWYVJ0NsE3elgRhKH,Dragostea Din Tei,0.809,0.965,130.103,-3.947,0.672,0.0427,0.0,0.0577,0.177
3difeykyN1QvqRDYECvENT,Bang Bang,0.447,0.464,74.728,-6.437,0.465,0.0255,0.0,0.19,0.602
3gbtiFakzAt3neomDc4Hss,Ramito de violetas,0.782,0.647,130.392,-5.638,0.484,0.0311,1.49e-05,0.396,0.47
7G40yxNPdyfmXqm5fWdczd,Se Muere por Volver,0.732,0.514,117.216,-6.59,0.673,0.271,0.0,0.396,0.402
6gXK4dQD2xMwvJpQsCJ77V,Cuatro Coplas de Luna,0.766,0.339,109.545,-6.24,0.321,0.161,0.0,0.148,0.648
0CK3hcpHOBzl8nbxQ85NFr,Herr Mannelig,0.477,0.796,158.167,-4.9,0.348,0.0644,0.000425,0.105,0.524
51aMyZzlIOitdIA4vyF0JO,Sangría - con WOS,0.666,0.787,95.799,-4.6,0.908,0.226,0.0,0.85,0.156
2HpbDdD3JLpAPMJFYCeC6o,High (Remix),0.668,0.351,200.017,-7.782,0.522,0.114,0.0,0.113,0.152
2UAWYufVaO3EnUUNzl0ppO,CANGURO,0.602,0.751,163.874,-4.358,0.934,0.327,0.0,0.667,0.173
4pXW6ZAHBz7ODXTRKklWrM,Mamichula - con Nicki Nicole,0.696,0.678,91.985,-5.893,0.346,0.0735,2.22e-06,0.134,0.582
0hwEhPxCBLKiqeBMZavGAv,Flexin',0.84,0.488,97.984,-6.156,0.85,0.0684,0.0,0.103,0.191
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,0.791,0.587,96.057,-5.075,0.536,0.0413,0.0,0.148,0.407
5i6KIRmxfGyVEGcG44YpZs,Red Cat,0.943,0.62,125.015,-6.153,0.0947,0.292,0.894,0.0845,0.109
0xPHSq6w4bvHBwqU6xWe2u,Tienes Flow - Mix 2019,0.88,0.613,102.983,-6.337,0.77,0.0867,1.2e-06,0.0482,0.123
5e0PwEGe79HnekZ2sonCpK,Vuelo,0.717,0.452,123.215,-8.81,0.802,0.231,0.0,0.58,0.754
44pgUrLmuGZ5v83AIHgeQZ,Bailé,0.775,0.551,105.024,-8.935,0.505,0.0286,2.67e-05,0.125,0.417
4YKIrD8XK51XIsqJEpB1Q0,Alitas de mar (feat. Juanito Makandé),0.653,0.606,157.833,-6.371,0.523,0.0367,0.0,0.101,0.578
2T5NBwKRySiCR78vVk08vr,BLIND (feat. Young Thug),0.709,0.679,162.973,-6.503,0.754,0.346,0.0,0.0971,0.0115
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,0.482,0.706,92.494,-5.762,0.144,0.0609,0.00106,0.105,0.135
1kiuJUVxQim9emG3caWlpu,Ya No Más,0.711,0.674,153.185,-7.121,0.758,0.0421,2.58e-05,0.0985,0.39
0kQrU0A42AWEKZITjyuGNL,Girls Just Wanna Have Some,0.67,0.629,114.995,-8.489,0.454,0.0324,0.0959,0.0914,0.189
5sBplhIrmzA4kQGyIOpmDf,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],0.832,0.549,140.045,-8.259,0.384,0.0602,0.0,0.11,0.168
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0.598,0.427,76.469,-8.764,0.0605,0.0317,5.83e-06,0.21,0.0546
1As4KC3YYpu89aBt7EqL2m,Call on Me,0.643,0.793,126.32,-8.944,0.198,0.326,0.103,0.458,0.00212
7hUraNVQaAxbX6RbaGNPSB,Back (feat. Yo Gotti),0.806,0.718,98.523,-4.212,0.581,0.0879,0.0,0.398,0.133
